===== Graph 1 =====
Distance (3-->0) : 1	Path: 3 0 
Distance (3-->1) : 2	Path: 3 0 1 
Distance (3-->2) : 3	Path: 3 0 1 2 
Distance (3-->4) : 1	Path: 3 4 
Distance (3-->5) : 2	Path: 3 4 5 
Distance (3-->6) : 2	Path: 3 4 6 
Distance (3-->7) : 1	Path: 3 7 

===== Graph 2 =====
Distance (5-->0) : 3	Path: 5 2 3 0 
Distance (5-->1) : 3	Path: 5 2 7 1 
Distance (5-->2) : 1	Path: 5 2 
Distance (5-->3) : 2	Path: 5 2 3 
Distance (5-->4) : 3	Path: 5 2 3 4 
Distance (5-->6) : 1	Path: 5 6 
Distance (5-->7) : 2	Path: 5 2 7 
Distance (5-->8) : 4	Path: 5 2 3 0 8 
