F,log F,Vin,Vout,Av
1,0,2,0.033,-35.6503211157219
1.5,0.176091259055681,2,0.033,-35.6503211157219
2,0.301029995663981,2,0.33,-15.6503211157219
2.5,0.397940008672038,2,0.031,-36.1933660365942
3,0.477121254719662,2,0.031,-36.1933660365942
3.5,0.544068044350276,2,0.031,-36.1933660365942
4,0.602059991327962,2,0.032,-35.9176003468815
4.5,0.653212513775344,2,0.032,-35.9176003468815
5,0.698970004336019,2,0.032,-35.9176003468815
5.5,0.740362689494244,2,0.035,-35.1392390262741
6,0.778151250383644,2,0.4,-13.9794000867204
6.5,0.812913356642856,2,0.71,-8.99543293889812
7,0.845098040014257,2,0.159,-21.9926574268706
7.5,0.8750612633917,2,0.238,-18.4890607721494
8,0.903089986991944,2,0.278,-17.1397039949181
8.5,0.929418925714293,2,0.312,-16.1375080329108
9,0.954242509439325,2,0.372,-14.6097411156417
10,1,2,0.65,-9.76233278042251
20,1.30102999566398,2,0.794,-8.0241898647377
30,1.47712125471966,2,0.886,-7.07192547553861
40,1.60205999132796,2,0.951,-6.45698957453135
50,1.69897000433602,2,0.988,-6.12546102152706
60,1.77815125038364,2,1.031,-5.75542660760929
100,2,2,1.239,-4.15917378575835
500,2.69897000433602,2,1.241,-4.14516428330503
1000,3,2,1.222,-4.27917579514892
5000,3.69897000433602,2,1.189,-4.51696282090579
10000,4,2,1.14,-4.88250288655017
20000,4.30102999566398,2,1.104,-5.16121844541602
30000,4.47712125471966,2,1.063,-5.48993462281369
40000,4.60205999132796,2,1.017,-5.87418085482473
50000,4.69897000433602,2,0.74,-8.6359655186601
100000,5,2,0.448,-12.9950396333167
200000,5.30102999566398,2,0.176,-21.1103465569966
300000,5.47712125471966,2,0.07,-29.1186391129945
400000,5.60205999132796,2,0.04,-33.9794000867204
500000,5.69897000433602,2,0.035,-35.1392390262741
1000000,6,2,0.056,-31.0568393731556
2000000,6.30102999566398,2,0.45,-12.9563496377728
3000000,6.47712125471966,2,0.45,-12.9563496377728
5000000,6.69897000433602,2,0.45,-12.9563496377728
