Vin (V),Frequency (Hz),"Practical Data
Av (dB)","Simulated Data
Av (dB)"
1,0.1,4.959465327,4.959465327
1,1,5.249021795,4.959465327
1,1.5,5.05706062,4.860760974
1,2,5.343434568,4.810984966
1,2.5,5.436832131,4.959465327
1,3,5.620667345,4.910253356
1,3.5,5.666024574,5.05706062
1,4,6.277344407,5.153571497
1,4.5,6.648769198,5.249021795
1,5,6.808882297,5.249021795
1,5.5,7.15869694,5.29635646
1,6,7.421357245,5.483156985
1,7,7.889033617,5.620667345
1,8,8.198662467,5.666024574
1,10,6.107027389,5.800692227
1,50,6.887845474,5.845121427
1,100,7.004960367,5.933303805
1,110,7.272239598,5.977061528
1,150,6.769129872,6.063921148
1,200,5.390258884,6.063921148
1,250,4.243752088,6.149920758
1,300,3.167249842,6.235077221
1,350,2.076074419,6.063921148
1,400,1.437640146,0.827853703
1,450,0.66847511,0.984360453
1,500,0.086427476,0.086427476
1,600,-1.012199867,-1.411621486
1,700,-1.830299622,-1.514414279
1,900,-3.223018185,-3.609121289
1,1000,-3.87640052,-3.741732867
1,1500,-5.848596478,-4.582959767
1,2000,-7.13094647,-6.375175252
1,3000,-8.404328068,-7.744322866
1,4000,-9.118639113,-8.873949985
1,5000,-9.370421659,-9.118639113
1,10000,-9.118639113,-9.118639113
1,50000,-9.370421659,-9.118639113
